number,value,state,net_pnl,max_drawdown,sharpe_like,maker_fee,volume_cap_ratio,fill_on_touch,rng_seed,MIN_SPREAD,BASE_SPREAD_raw,MAX_SPREAD,ORDER_LEVELS,MIN_ORDER_SIZE,ORDER_SIZE_INCREMENT,MAX_POSITION,INVENTORY_EXTREME,VOLATILITY_WINDOW,VOLATILITY_STD,STOP_LOSS_PCT,TAKE_PROFIT_PCT
52,0.01041175,1,0.01166,0.004993,0.0445,3.1703181200945976e-05,0.27915572378556763,True,5,0.00017176486290448303,0.0016875247682209401,0.009811204096204479,6,0.11413959906900834,0.08930525421962118,1.2686453958572363,0.6306155889912801,21,1.488641819422006,0.0023748100078296074,0.004344856312101683
53,0.0,1,0.0,0.0,0.0,0.00012401590957804436,0.5234480079846114,False,1,0.00043190919490973827,0.004090626344750098,0.011378963932110553,1,0.003985139907139728,0.0039047372916237062,0.018002782326787082,0.7394378143843479,94,2.566052231152797,0.016335670257469563,0.004415655862684003
54,0.010083499999999999,1,0.011335,0.005006,0.0433,-8.215307274242727e-05,0.553472196524672,True,9,0.0008867493334274479,0.004183329808702488,0.011267846297789767,4,0.02240796983403269,0.014986758152692691,0.2751684619339482,0.7066040388282698,125,2.6339302668881204,0.017680988838581064,0.0029172742373870524
55,0.0,1,0.0,0.0,0.0,5.341965187924757e-05,0.4143373961700245,False,3,0.0008633591312274894,0.004337890899243659,0.010916256481027934,5,0.011210321877691061,0.00792546146347336,0.31902425956529534,0.7176679367026483,101,1.7964320104543068,0.013831157772194399,0.0030347253105852414
56,0.0091655,1,0.010426,0.005042,0.0399,0.00022328171398726333,0.5482621089115003,True,4,0.00017943182332258716,0.0019974745621569793,0.008944674785207477,7,0.15221677632561328,0.11213101334133922,1.3614135349181404,0.7003145655626879,74,2.568423684358752,0.002250370049334619,0.00228466712463636
57,0.00949875,1,0.010756,0.005029,0.0411,0.00017205910160283244,0.5789705265565686,True,1,0.0007165731932055437,0.0017273616114334286,0.009489103120398924,6,0.003257705665093449,0.003200162348006009,0.1986397126671496,0.7734765374664595,114,2.797220263680088,0.016237776710214737,0.0024704012816994555
58,0.01029775,1,0.011547,0.004997,0.0441,4.922810533311699e-05,0.5301085280180433,True,2,0.0006128766745593157,0.0027420713687681454,0.010375640706273243,4,0.0018359755237627548,0.0018151212530998035,0.008860953345671753,0.8284116339008412,148,2.939066466922313,0.016284150379640032,0.0075304691096358895
59,0.010496499999999999,1,0.011744,0.00499,0.0448,-1.8606120845241462e-05,0.18621812562675577,True,2,0.00010555776341838674,0.0018354367826963573,0.015968533104897573,7,0.18901237860792144,0.1080993368897494,11.101525405924,0.664360742982857,66,2.308516873598892,0.003614068138621232,0.0025330460389225875
60,0.0095705,1,0.010827,0.005026,0.0414,-0.0001610340359802083,0.3268499165711784,True,2,0.00045728339908218825,0.004346668107591285,0.011497160115720856,5,0.06197502538921714,0.05889287123890121,4.3704546796004955,0.9722022402178052,23,2.998644111593634,0.015894574641078473,0.0021532171137977796
61,0.0,1,0.0,0.0,0.0,1.937537243475727e-05,0.4441870934015546,False,2,0.00029627625660849573,0.003540465226250283,0.011750483503500855,7,0.05349806283919739,0.015888365830930264,0.5425615687369321,0.7145202220051795,98,1.8015598256625123,0.002060671338888594,0.004161155972567446
62,0.010533,1,0.01178,0.004988,0.0449,1.3011257925890943e-05,0.3115223014693388,True,5,7.10596372839539e-05,0.0028519410551557365,0.010727525288998268,6,0.18013811206650113,0.11901325141888489,7.027548859134977,0.9731811572614009,119,2.884369397148517,0.014916492926896488,0.024682837402270823
