number,value,state,net_pnl,max_drawdown,sharpe_like,min_spread_pct,base_spread_pct,max_spread_pct,base_order_size_pct_of_balance,min_order_value_usd,max_order_size_pct,max_inventory_ratio,skew_intensity,volatility_window_sec,volatility_multiplier,min_profit_spread_after_fees_pct,max_daily_loss_pct,order_stale_threshold_pct,max_outstanding_orders
50,,3,,,,0.00016700323298324805,0.003882300580034357,0.008921999246892031,0.0043453293296622985,49.154803017826225,0.25173662084408904,0.16471192878128094,0.5759962833182481,166,4.023595610087324,0.0005247461685509437,0.04276352847049356,0.0004747543826991681,3
51,,3,,,,0.0006938834922555192,0.0008099816378875831,0.002722019965824001,0.003439902438971421,24.583230045847685,0.49678024672331006,0.8488699078557937,0.3657593892174711,43,4.426994239334324,0.0006648747501552801,0.042879387702288024,0.0006883843303883856,3
52,,3,,,,0.000311501768122718,0.0025663036652295206,0.004813410093405822,0.00946985764234621,18.618901463561293,0.07051858706128579,0.435236549341953,0.19315087907421116,105,3.577862835135545,0.000501815205171406,0.02807147881765504,0.0004299764962115294,3
53,,3,,,,0.0006120208753730619,0.0006208874691566084,0.002358331580608859,0.0011808871851005664,38.19257302979033,0.35406905785267484,0.8368401595089238,0.15008077979765638,48,4.415461260627039,0.0005509613198885918,0.025248521079807632,0.0009635900761664256,2
54,,3,,,,0.0001553588778475467,0.0031530640472952737,0.009920882885261181,0.009127995864440613,38.14047669306595,0.06075760848472783,0.3386777683329408,0.5001776364183125,106,4.356391435921292,0.0004983920301982796,0.03193400719354954,0.0003472670450604583,3
55,,3,,,,0.00020636272140024773,0.0023589479032784804,0.004599185292016269,0.006708071437803062,48.53793007291123,0.07555529544437968,0.653240321181682,0.20178710694278135,150,3.4912739115690714,0.0004769490479094942,0.04222414006577994,0.0005274275637788359,4
56,,3,,,,0.00017930580313775128,0.003594777053641254,0.009953749624339222,0.00745828103507505,27.599486369389787,0.35374708278152406,0.5116415291598371,0.2533488121251326,159,2.484515318321294,0.0005495516490287605,0.04634140255575998,0.0002490442497872461,4
57,,3,,,,0.00037061239920039836,0.0031315563948794375,0.009866442734296368,0.005211731526285814,33.89768261374148,0.06836312669310282,0.1644281073410036,0.16214137138764664,90,3.872488040489295,0.00039174423287251513,0.05404703850096072,0.00023755805790021912,1
58,,3,,,,0.00016995458425387861,0.004093336946454717,0.010526890763655738,0.009676640488627564,34.08603675017087,0.2268235134199219,0.20123088731613592,0.1459629867272345,142,3.769889851040912,0.0005759255418400884,0.020587926801220978,0.0002539402203528037,2
59,,3,,,,0.0007474209413990233,0.002437669443177246,0.009576789085882357,0.005761704440637894,22.43714867694443,0.19811158894638398,0.6339432095388551,0.239919612085666,57,4.038493292631791,0.0002214896851040317,0.03577247950364974,0.0005378603859045062,1
60,,3,,,,0.0009809917303673632,0.0008622088288752772,0.00243612551844228,0.004479520289228774,18.811094140656568,0.40244737696432525,0.2904337288917497,0.25717534051528823,53,4.458303912177342,0.0003696151473122331,0.04822166167652139,0.0004799298001115655,1
61,,3,,,,0.00011179620321570266,0.0040354651788008025,0.010387486849195039,0.005262264701126243,33.89189081713798,0.46196177665873583,0.31570821757736256,0.10577628774319126,168,3.7630620624630713,0.0002081325878098288,0.06445824885204796,0.00034661120607757946,3
62,,3,,,,0.00027086244541197637,0.003005350472502231,0.009668326070843105,0.007225660228054181,28.946437888478407,0.2699604098919778,0.670552660029959,0.17893683812778538,100,3.5701582840351884,0.0004069211461156806,0.0581824311700117,0.00044215420975446705,4
63,,3,,,,0.00021569341946109673,0.002253730315918786,0.004503907626960331,0.004011053406130709,39.49427527492355,0.06811857694562842,0.1964004141846192,0.1513007872295799,160,4.7056808628728675,0.0007603237603888617,0.05911661366394291,0.00028773638610896584,3
64,,3,,,,0.00017339623833027485,0.001466657688209803,0.0035106046214216408,0.007820509392363298,34.90288454085533,0.13593284065193978,0.5341184508728815,0.27998896044834254,116,4.054612914719128,0.000610541995582107,0.01232819492088292,0.000711875899967051,3
65,,3,,,,0.0005997222480372884,0.0014420304869553417,0.0034167967505891327,0.0054109509923551255,31.69962184244988,0.260470752696813,0.7793521748405418,0.17151314919851524,144,4.593179729820652,0.0008330344835723466,0.06657170965770312,0.0007637044982091998,2
66,,3,,,,0.00018680947927735017,0.004750287876996212,0.011232918701120007,0.0036587121877999103,35.417798134989894,0.13744698913293427,0.6828817751377582,0.1513157774084652,119,4.0982511723965,0.000434218340511364,0.05646657013492434,0.0006827869814713403,5
67,,3,,,,0.00047233830562900506,0.0035661450381699244,0.01012942119112678,0.008380185103153718,18.785190968702025,0.13749898839859495,0.3905906798842824,0.13625171543973436,148,2.926334431067657,0.0004425493985396163,0.06420248535404852,0.00030548758827619643,2
68,,3,,,,0.0008165906285473847,0.0007745806792497646,0.002479588922131438,0.0018441627027978313,40.75161121812616,0.4109129997418593,0.7812147408822043,0.33599120163824453,62,4.815751490376013,0.0007834515900924196,0.022238043968460523,0.0004072588092735028,1
69,,3,,,,0.00012193989141431796,0.002872148245891216,0.009741078943436687,0.006288626383828917,45.93284294373351,0.05553310725234632,0.37581513438379355,0.2698594632584977,88,4.266827248179238,0.00021891394972587677,0.05989935980890311,0.00040580098692346423,3
70,,3,,,,0.00013211435500772042,0.003569848278647829,0.010078004315938367,0.007160031889403002,21.260922369700268,0.29779010613323587,0.5876148509855453,0.11165895251869627,132,2.706798136008013,0.0009003095380684216,0.013799627047964842,0.0007198123889945372,4
71,,3,,,,0.00019121434737153078,0.0039050903737278832,0.010563070056594261,0.009126495554772476,38.97760997080765,0.32445606352421635,0.39037410350940793,0.2066034922188209,94,3.6412087943093234,0.0003977623689987154,0.053540364496644254,0.00023276015633162203,4
72,,3,,,,0.0007769340437320516,0.0007666457041994023,0.003110213147920908,0.0012725079145834877,30.168996378038457,0.4752869360271588,0.7287624839149186,0.31498812863045295,75,4.591491590023603,0.0009264831177593862,0.034452908671026516,0.0005429755121807888,3
73,,3,,,,0.0002152146832837093,0.0044073487975576295,0.010754177667530843,0.00636575035497879,31.236954268144938,0.16507322162549978,0.45690248691808877,0.15674626957546564,159,3.8410621575513564,0.00032353938645201386,0.026715885175221193,0.0005063819340239172,4
74,,3,,,,0.0003566602336753064,0.0023318543109411083,0.009451970957723148,0.004906755650692931,40.45415173351068,0.38765167368300224,0.2721810640232278,0.22665973045177107,154,3.7655110959280766,0.0006434838348538302,0.0315780096715322,0.0003119306156880045,4
75,,3,,,,0.0002645462573919555,0.0034271854696243257,0.008701678939907228,0.0068483187671837115,46.75633063719156,0.25222845794668874,0.15465001281752688,0.11396597971093576,176,4.38689330397717,0.00035716557783024876,0.04581291204802145,0.0005628378926865907,4
76,,3,,,,0.00016081438690878692,0.0025427999440629746,0.010114449443332372,0.006959638644128665,26.374039615428874,0.23932674522058214,0.42380204126768195,0.16167774936592766,112,2.149103602474457,0.0003375382401156618,0.032561895507491015,0.00027431295171054324,3
77,,3,,,,0.00012439362115021564,0.003766538746505398,0.010547558220026733,0.005992100853144599,42.06634960095636,0.17441689460806356,0.38846195237415737,0.5751826118035694,151,2.308238032326396,0.0005663058998785546,0.04628365215590205,0.0004386985304949552,3
78,,3,,,,0.0005179142522329744,0.0015650689913177041,0.003757794514109424,0.0026444057551160954,22.626793976665024,0.30139540253093106,0.7259761067602053,0.11046231524325954,40,4.802960264513019,0.0005145756277418087,0.06262262208272866,0.0008362183226153554,2
79,,3,,,,0.00019340731249877595,0.0049789134258738914,0.011217579625781822,0.009093865461747501,39.140430480098075,0.2550029095927042,0.25933787549800275,0.1462942772621864,168,4.2673002217327625,0.0004935946671563869,0.0817367280801744,0.0009196827242954619,5
80,,3,,,,0.00033217559409777535,0.004192874506313669,0.010845038173747141,0.0077442194225069635,35.59985620097845,0.2602471226642225,0.30713952661573707,0.4016766468675604,98,3.2245405764385606,0.0004886001704001723,0.022455336810645897,0.0003631296891102274,4
81,,3,,,,0.00018835879916447772,0.0039508490885862635,0.0094039929975807,0.006669104412648099,17.181166831373684,0.09064868914205244,0.3974461273370288,0.29220430777161244,126,3.971164053723795,0.00045667398565576105,0.023838142235403547,0.0004362825414480493,4
82,,3,,,,0.00010003455296069417,0.004555162938262675,0.010937333964560361,0.005464882102712809,25.563828976264727,0.09503137004520207,0.39203779751625334,0.23977739798723366,136,4.021268062707758,0.0008263310169383786,0.03873164857385984,0.0007179761274895847,5
